place,longitude,latitude
云南府,102.74321,24.70312
临安府,102.48826,23.71902
大理府,100.16444,25.69783
永昌府,99.16686,25.11244
丽江府,100.17928,26.55942
澄江府,102.91122,24.6732
楚雄府,101.54286,25.03307
景东厅,100.83629,24.45213
蒙化厅,100.30888,25.23003
曲靖府,103.79678,25.49584
永北厅,100.74804,26.68933
东川府,103.29464,26.42056
武定州,102.46172,25.56265
元江州,102.00642,23.60401
元江府,102.00642,23.60401
昭通府,103.58723,27.81223
开化府,104.23555,23.37613
广西州,103.76,24.52
普洱府,101.03,23.07
顺宁府,99.91098,24.59181
镇雄州,104.86,27.42
广南府,103.79,25.51
镇沅厅,101.11284,24.01167
镇边厅,99.93633,22.56742
双鸭山市,132.5435572,46.6790571
鸡西市,132.2862976,45.6291563
七台河市,130.9705031,45.9103936
伊春市,129.2109362,47.8118246
牡丹江市,129.8872027,44.5969222
鹤岗市,130.7996624,47.6392829
佳木斯市,132.2584224,47.2665241
延边朝鲜族自治州,129.129434,43.1400953
通化市,125.9502943,41.9551429
吉林市,126.8476515,43.5822649
白山市,127.2854923,42.0681872
辽源市,125.3052277,42.8106353
哈尔滨市,127.9571505,45.6372551
大庆市,124.7003528,46.3476596
绥化市,126.6438073,46.892616
松原市,124.4768177,44.7999569
白城市,123.013593,45.3456536
长春市,125.7672102,44.3832614
兴安盟,121.3664132,46.2311512
铁岭市,124.1709889,42.6440285
抚顺市,124.6559184,41.8338892
四平市,124.4712377,43.5703512
丹东市,124.3783841,40.5071681
本溪市,124.5701689,41.2287413
沈阳市,123.1387427,42.0958383
盘锦市,121.9872715,41.0600586
营口市,122.4291204,40.3907319
辽阳市,123.2457085,41.1817983
锦州市,121.6065318,41.4500008
鞍山市,123.0099034,40.7160008
大兴安岭地区,124.2032062,52.3265168
黑河市,126.985761,49.2641052
齐齐哈尔市,124.5454136,47.698897
呼伦贝尔市,121.1973336,49.6617507
东营市,118.6468049,37.6509507
威海市,122.0505892,37.1131158
日照市,119.2635987,35.4840903
大连市,122.2095739,39.4608044
潍坊市,119.0731704,36.5542937
烟台市,120.8047362,37.3511556
青岛市,120.2618864,36.369479
苏州市,120.6517549,31.380616
扬州市,119.4730283,32.7380423
南通市,121.0902882,32.1744549
常州市,119.6367361,31.6252032
无锡市,120.0763912,31.5274531
泰州市,120.0579655,32.5702145
盐城市,120.2119447,33.5377975
镇江市,119.4533902,32.0160249
德州市,116.64608,37.2473031
唐山市,118.365448,39.6821192
廊坊市,116.6278857,39.2589907
承德市,117.5485394,41.3456472
沧州市,116.7733288,38.2691498
秦皇岛市,119.222041,40.0445043
朝阳市,120.0153893,41.5102243
葫芦岛市,120.2290334,40.6053281
济南市,117.0891514,36.7386927
淄博市,118.0538592,36.6098783
滨州市,117.837425,37.536877
莱芜市,117.6611455,36.2735684
淮北市,116.7429363,33.7270305
淮南市,116.7348612,32.7563179
蚌埠市,117.3259693,33.1084788
南京市,118.8427187,31.9268958
宿迁市,118.5196415,33.7848892
淮安市,118.9629245,33.3545861
临沂市,118.2809319,35.3092745
枣庄市,117.3923902,34.9157029
泰安市,117.0263962,36.0009617
宿州市,117.2108058,33.8585013
徐州市,117.5133183,34.3574483
连云港市,119.1644524,34.5590578
济宁市,116.7320677,35.3755847
通辽市,121.5626419,43.8258648
锡林郭勒盟,115.5155005,44.2036579
阜新市,121.9547986,42.2791236
赤峰市,118.8814023,43.2093571
聊城市,115.8797914,36.4565873
邢台市,114.815471,37.2122398
石家庄市,114.4390402,38.1318176
衡水市,115.8237131,37.762053
邯郸市,114.5427052,36.5527533
安阳市,114.3531941,35.8773266
新乡市,114.0868288,35.2643353
鹤壁市,114.3094512,35.7228119
濮阳市,115.2784013,35.8080569
商丘市,115.6986726,34.2886868
亳州市,116.1817262,33.4349202
周口市,114.8776456,33.7223464
开封市,114.536185,34.6047339
漯河市,113.8998189,33.6549996
许昌市,113.7091506,34.072251
郑州市,113.4704359,34.6271759
驻马店市,114.1510024,32.9228753
菏泽市,115.6916897,35.1520982
张家口市,115.0323621,40.8654195
朔州市,112.6407077,39.6175662
大同市,113.7215943,39.8998279
忻州市,112.4067678,38.882248
保定市,115.1710705,39.0210976
乌兰察布市,112.4443546,41.6870982
包头市,110.2566548,41.5536303
呼和浩特市,111.4977027,40.5913844
晋中市,112.9608576,37.3268477
太原市,112.3155548,37.9592732
晋城市,112.7068784,35.6103899
长治市,112.9159113,36.4755003
阳泉市,113.4971852,38.0637256
吕梁市,111.2617667,37.6786338
安康市,108.9270301,32.7577637
商洛市,109.9014175,33.6475589
西安市,108.7864722,34.1059881
三门峡市,111.1060581,34.3609932
南阳市,112.2845215,33.0429297
平顶山市,113.0114067,33.7955644
洛阳市,112.0310001,34.291003
十堰市,110.4417327,32.4569866
随州市,113.4238497,31.8282084
焦作市,112.8939603,35.1099044
渭南市,109.8499378,34.9486749
运城市,111.062882,35.1866962
咸阳市,108.3914432,34.7872785
延安市,109.3173344,36.4367885
铜川市,109.0330814,35.1952345
临汾市,111.3774591,36.2261144
鄂尔多斯市,108.6304606,39.4116166
吴忠市,106.5447542,37.45895
石嘴山市,106.5174291,39.0077997
银川市,106.3543077,38.2282289
榆林市,109.5641688,38.0390382
乌海市,106.8892478,39.4192793
巴彦淖尔市,107.5668181,41.4469414
天水市,105.7369755,34.6478686
平凉市,106.6457183,35.3062741
庆阳市,107.5919079,36.1641025
固原市,106.1816727,35.951828
宝鸡市,107.2001364,34.3800754
陇南市,105.2204209,33.5969104
汉中市,107.1020159,33.0905832
巴中市,107.0379244,32.0175483
广元市,105.7817186,32.2617732
绵阳市,104.7024805,31.8491458
海南藏族自治州,100.2527217,35.9519212
临夏回族自治州,103.2820602,35.6299489
兰州市,103.6378458,36.3592822
定西市,104.4514801,35.1191639
甘南藏族自治州,102.7697927,34.3272777
白银市,104.6245282,36.6128189
中卫市,105.4729476,37.0433852
海东地区,102.3427905,36.330443
海北藏族自治州,100.3127109,37.7990757
西宁市,101.449541,36.8175224
黄南藏族自治州,101.6273189,35.0208008
张掖市,99.8752737,38.9386836
武威市,103.0609026,38.1766681
金昌市,102.0718132,38.4352311
阿拉善盟,102.4453279,40.4970136
绍兴市,120.6357771,29.7334228
南平市,118.1434077,27.3388911
丽水市,119.5129432,28.1990996
台州市,121.2542688,28.7113269
宁波市,121.5964946,29.6406468
杭州市,119.4707628,29.8998629
温州市,120.5695301,27.8205263
舟山市,122.2575851,30.3315042
衢州市,118.6743164,28.9345722
金华市,119.9525892,29.1165494
芜湖市,118.330515,31.0740459
合肥市,117.2480727,31.9955177
安庆市,116.5954494,30.6095734
宣城市,118.8531476,30.6856505
巢湖市,117.7817476,31.4629094
滁州市,118.1026218,32.5440318
铜陵市,117.8743288,30.9272931
马鞍山市,118.6192195,31.5335496
嘉兴市,120.8984567,30.5990739
湖州市,119.8684301,30.7445674
三明市,117.397762,26.2989719
宁德市,119.6366365,26.9253636
泉州市,118.2992166,25.1463105
漳州市,117.4836754,24.3139523
福州市,119.3692627,26.0116919
莆田市,119.0077722,25.3789783
景德镇市,117.2709783,29.3085338
池州市,117.3653896,30.2829821
黄山市,118.0712074,29.9068102
上饶市,117.4698647,28.7742207
南昌市,116.025549,28.6600747
鹰潭市,117.1078627,28.2240104
赣州市,115.2733181,25.7091793
龙岩市,116.740431,25.2931483
吉安市,114.824177,26.9727902
抚州市,116.4343161,27.5088805
新余市,114.8515474,27.8451177
萍乡市,113.9029627,27.5127416
信阳市,114.8833272,32.0812064
六安市,116.3147601,31.7563751
阜阳市,115.7039811,32.9173109
咸宁市,114.1754552,29.6238411
天门市,113.1138092,30.6452291
孝感市,113.8789466,31.1185166
武汉市,114.3420681,30.6236599
鄂州市,114.7554377,30.3274062
九江市,115.4405395,29.3239894
宜春市,114.9731077,28.3058498
黄冈市,115.339325,30.7162084
黄石市,115.0248742,29.9271002
清远市,112.8763995,24.3131662
韶关市,113.7726899,24.8193901
河源市,114.9579278,24.0446259
梅州市,116.0803644,24.2032711
汕头市,116.7312102,23.335035
潮州市,116.7933568,23.778582
揭阳市,116.1419415,23.3078553
珠海市,113.6238013,22.0986596
江门市,112.672507,22.1723011
佛山市,112.9459898,23.0070084
中山市,113.3969948,22.5187358
深圳市,114.0879126,22.6086572
东莞市,113.8742536,22.9331449
广州市,113.537265,23.3290398
惠州市,114.5144314,23.1959413
汕尾市,115.5436954,22.9638736
潜江市,112.7566424,30.3394966
荆州市,112.5703846,29.9955013
荆门市,112.6078343,31.0686673
襄樊市,111.9359053,31.9308335
仙桃市,113.3753717,30.290288
益阳市,111.9508863,28.5748228
长沙市,113.1531321,28.2271876
岳阳市,113.2549091,29.0654808
常德市,111.5207214,29.2995142
永州市,111.7296974,25.7747706
衡阳市,112.573824,26.7944888
邵阳市,110.8747713,26.9129894
郴州市,113.1372817,25.8162703
娄底市,111.6139109,27.738803
株洲市,113.5166341,27.1206449
湘潭市,112.6026849,27.7318361
怀化市,110.075874,27.5482135
湘西土家族苗族自治州,109.7268319,28.694219
肇庆市,112.2053458,23.5394103
来宾市,109.4129788,23.8545909
柳州市,109.3713182,24.9478699
桂林市,110.5140792,25.3543712
梧州市,110.9904352,23.4810261
贵港市,109.998034,23.3080418
贺州市,111.362571,24.3603371
海口市,110.4142625,19.8737088
万宁市,110.3350523,18.81903
定安县,110.309197,19.4866705
屯昌县,110.0527766,19.3434205
文昌市,110.8224697,19.7940551
澄迈县,109.9843617,19.7386673
琼中黎族苗族自治县,109.8512323,19.0353038
琼海市,110.4228365,19.2122471
陵水黎族自治县,109.9520207,18.5405761
湛江市,110.1818753,20.9834894
张家界市,110.5267795,29.3925151
神农架林区,110.4754746,31.5915994
宜昌市,111.1348367,30.7469197
恩施土家族苗族自治州,109.5485079,30.1913055
崇左市,107.2729627,22.5032095
茂名市,110.9633304,21.9849094
阳江市,111.80783,21.9729219
云浮市,111.7946771,22.8158159
北海市,109.3126767,21.5820225
南宁市,108.4636687,23.0572615
玉林市,110.1817139,22.4415806
钦州市,109.0085682,22.1578833
防城港市,108.0167355,21.8670898
昌江黎族自治县,108.9801452,19.2373719
东方市,108.8048007,19.0042279
三亚市,109.4193389,18.3465012
临高县,109.7070823,19.8300455
乐东黎族自治县,109.0222273,18.6342585
五指山市,109.5071184,18.8269505
保亭黎族苗族自治县,109.6455483,18.593289
儋州市,109.3749531,19.5977795
白沙黎族自治县,109.3480387,19.2116262
达州市,107.6450823,31.3667453
资阳市,104.9512832,30.1808104
成都市,103.8252923,30.7015984
南充市,106.2033016,31.1955233
广安市,106.6643088,30.4264698
德阳市,104.4308205,31.1331335
眉山市,103.7513801,29.9265501
自贡市,104.6821584,29.2871723
遂宁市,105.4712918,30.6322437
重庆市,107.8745961,30.057258
河池市,107.8416845,24.6427084
百色市,106.2870163,23.9854492
六盘水市大湾镇,104.8910556,26.1345188
安顺市,105.9490413,25.9947481
黔东南苗族侗族,108.5583306,26.5056723
黔南布依族苗族,107.2499917,26.013442
黔西南布依族苗族,105.4638057,25.2653622
文山州,104.7127554,23.6890691
昆明市,102.8726472,25.3874372
曲靖市,103.9376208,25.7043924
玉溪市,102.2017627,24.139225
红河州,103.0361887,23.4397484
内江市,104.9104547,29.6409556
贵阳市,106.7062408,26.8410569
毕节地区,105.2153723,27.0673537
遵义市,107.0850439,28.1684335
铜仁地区,108.5413925,27.9713375
乐山市,103.5683324,29.2109816
凉山彝族自治州,102.0767784,27.8859938
宜宾市,104.6333865,28.5738286
攀枝花市,101.7303458,26.806824
泸州市,105.6656992,28.4412063
丽江市,100.5234237,26.9401343
昭通市,104.0023661,27.6537061
大理市,100.0369597,25.7276038
保山市,98.9706397,24.9766627
临沧市,99.6735387,23.9395708
德宏州,98.0847996,24.5589048
普洱市,100.7201081,23.1865251
西双版纳,100.9448153,21.9313603
怒江州,98.8689889,26.9646458
楚雄市,101.5682855,25.3520987
甘孜藏族自治州,99.9990855,30.9465836
阿坝藏族羌族自治州,102.6129769,32.3994187
雅安市,102.6647673,29.9178214
昌都地区,97.0310844,30.7810012
林芝地区,95.2435189,29.1965734
迪庆州,99.4401316,27.9577346
果洛藏族自治州,99.4370479,34.0974883
酒泉市,96.0645368,40.2483053
嘉峪关市,98.2007828,39.8144351
海西蒙古族藏族自治州直辖,94.576374,36.6807191
玉树藏族自治州,94.2644407,34.1667653
乌鲁木齐市,87.779584,43.732376
吐鲁番地区,89.8378308,42.3880344
哈密地区,93.5250202,43.0320294
巴音郭楞蒙古自治州,87.471242,39.4960809
昌吉回族自治州,88.6461497,44.3445491
石河子市,86.032645,44.300943
阿勒泰地区,88.399761,46.9080614
日喀则地区,86.4814806,29.4977167
山南地区,92.2714731,28.2999742
拉萨市,91.0902335,30.0366939
那曲地区,89.2619082,32.7411616
阿里地区,82.557514,33.0306143
和田地区,80.9249025,37.0780738
五家渠市,87.555861,44.3614012
伊犁哈萨克自治州,82.1134843,43.4636755
克孜勒苏柯尔克孜自治,75.9472057,39.6564684
克拉玛依市,85.1694253,45.4474144
博尔塔拉蒙古自治州,82.1167378,44.7368738
喀什地区,77.1819825,38.1250496
图木舒克市,79.1899251,39.8829468
塔城地区,84.7839312,45.6426996
阿克苏地区,81.5547072,40.9634663
阿拉尔市,81.282731,40.6087871
