ID,add,n,X,Y,,
1,昆明,100,102.71035,25.04591,,西安 1980
2,石屏,96,102.48826,23.71902,,
3,太和,75,100.16444,25.69783,,
4,剑川,55,99.90253,26.48383,,
5,建水,45,102.82231,23.62455,,
6,晋宁,44,102.74321,24.70312,,
7,丽江,43,100.23598,26.87463,,
8,楚雄,34,101.54286,25.03307,,
9,蒙自,33,103.23675,23.35547,,
10,赵州,33,100.3129,25.58517,,
11,浪穹,30,99.94923,26.1127,,
12,保山,25,99.16686,25.11244,,
13,腾越,24,98.49498,25.02435,,
14,通海,22,102.75561,24.10607,,
15,鹤庆,21,100.17928,26.55942,,
16,蒙化,21,100.30888,25.23003,,
17,安宁,19,102.44,24.95,,
18,顺宁,18,99.91098,24.59181,,
19,姚安,17,101.27985,25.65638,,
20,宜良,17,103.14198,24.91107,,
21,呈贡,16,102.79896,24.90134,,
22,河阳,14,102.91122,24.6732,,
23,陆良,13,104.64,25.04,,
24,宣威,13,104.10641,26.21884,,
25,邓川,12,100.0416,25.99123,,
26,昭通,12,103.71526,27.34328,,
27,宁州,11,102.77002,24.27566,,
28,南宁,10,103.79678,25.49584,,
29,曲靖,10,103.79,25.51,,
30,永北,10,100.74804,26.68933,,
31,元谋,9,101.89593,25.62293,,
32,云龙,9,99.35095,25.83847,,
33,嵩明,8,103.03332,25.34134,,
34,祥云,8,100.56,25.48,,
35,元江,8,102.00642,23.60401,,
36,沾益,7,103.82,25.62,,
37,易门,7,102.14977,24.67262,,
38,开远,6,103.23,23.7,,
39,泸西,6,103.76,24.52,,
40,昆阳,5,102.58,24.68,,
41,新平,5,102.52,24.35,,
42,宾川,4,100.55,25.82,,
43,大姚,4,101.32531,25.72573,,
44,定远,4,102.36,25.55,,
45,会泽,4,103.29464,26.42056,,
46,江川,4,102.795,24.42546,,
47,景东,4,100.83629,24.45213,,
48,罗平,4,104.30344,24.88309,,
49,阿迷,3,103.23381,23.7149,,
50,禄劝,3,102.46172,25.56265,,
51,路南,3,103.24,24.77,,
52,文山,3,104.23555,23.37613,,
53,新平,3,101.98972,24.07587,,
54,永善,3,103.58723,27.81223,,
55,广南,2,103.79,25.51,,
56,临沧,2,100.09,23.88,,
57,禄丰,2,102.0801,25.1474,,
58,弥勒,2,103.4332,24.40936,,
59,武定,2,102.39832,25.53585,,
60,矶,7,102.38,24.16,,
61,姚州,2,101.24246,25.51374,,
62,永平,2,99.51934,25.46317,,
63,云县,2,100.12,24.44,,
64,大关,1,103.91,27.74,,
65,恩安,1,103.71526,27.34328,,
66,广通,1,101.75339,25.17142,,
67,景谷,1,100.71,23.5,,
68,开化,1,104.24,23.37,,
69,兰坪,1,99.29,26.49,,
70,琅盐井,1,101.54,25.01,,
71,马龙,1,103.61,25.41,,
72,墨江,1,101.71,23.4,,
73,普洱,1,101.03,23.07,,
74,师宗,1,103.99129,24.83186,,
75,双柏,1,101.67,24.68,,
76,新兴,1,102.52,24.35,,
77,寻甸,1,103.25372,25.5622,,
78,漾濞,1,99.98,25.68,,
79,镇雄,1,104.86,27.42,,
